MOVIE_ID,NAME,GENRES,STORYLINE,TAGS
2137271,牧羊少年奇幻之旅,剧情,Paulo Coelho 畅销新世纪(new age)灵魂小说《The Alchemist》(炼金士)将被华纳兄弟(WB)搬上大银幕。该书一经出版受到大量读者好评，号称一部触动灵魂之作。,小说改编/梦想/成长/炼金术士/经典/人之所以为人/美国/剧情
19944306,地心历险记3,动作/科幻/奇幻/冒险,"Sean and Hank go on their biggest adventure yet, to the moon.",地心历险记3/科幻/冒险/奇幻/美国/地心游记/美国电影/动作
26370432,Runner,动作,,美国/姜成镐
26824810,Moonfall,科幻/惊悚,,翻拍/月球陨落/时间机器
3078409,古驰,剧情/传记/历史,王家卫又有了新项目。金牌女制作人梅根·埃里森已与墨镜王接洽，邀后者执导雷德利·斯科特搁置多年、描绘Gucci家族的犯罪传记片。该项目将聚焦Gucci创始人Guccio Gucci的孙子凶杀犯Maurizio Gucci。原定李奥纳多·迪卡普里奥和安吉丽娜·朱莉出演。现在则传闻玛格特·罗比加盟，饰演Patrizia Reggiani，这位被判定谋杀前夫，而锒铛入狱的女人。Andrea Berloff和Charles Randolph曾撰写本片剧本初稿，尚不确定谁会来接手最终剧本。,王家卫/Gucci/美国/传记/美国电影/@王家卫/人物传记/安吉丽娜朱丽
26756309,可怕之日,剧情,,
2998467,未定名我是传奇重启版,动作/科幻/惊悚,据美国媒体报道，华纳兄弟一直在筹备《我是传奇》的续集（或前传），但由于男主角威尔·史密斯没有回归的意愿，华纳只能另辟蹊径重启该项目，新故事将和原版的《我是传奇》没有任何关系。,威尔·史密斯/科幻/我是传奇2/美国/WillSmith/美国电影/惊悚/恐怖
26665355,执念师,科幻,执念师将拍摄电影版,科幻/中国电影/網絡劇/白一骢/烧脑/梁大维/悬疑/大陆
26335589,群星，我的归宿,科幻,《群星，我的归宿》在全球科幻文学界都享有很高的声誉，小说最初是在1956年以《虎！虎！》的名字发表，1957出版单行本更名为《群星，我的归宿》。小说中，贝斯特将大仲马的复仇戏剧搬到了太空，这部作品可谓是贝斯特想象力的又一次爆发，他栩栩如生地描绘了一个人人都可进行瞬间转移的未来世界，呈现了一个被遗弃的人在特定环境中艰苦而又疯狂的复仇之路。,科幻/2019/阿尔弗雷德·贝斯特/美国/瞬间转移/超能力/科幻电影/思动
26413207,比克,动画,梦工厂动画正计划把Dan Santat的童书《比克的冒险：还未被幻想出来的朋友》（The Adventures of Beekle: The Unimaginary Friend）搬上大银幕，曾执导过《朱诺》（Juno）等真人电影的导演杰森·里特曼（Jason Reitman）这一次将改变画风，担任这部动画的导演和编剧。,贾森·雷特曼/梦工厂/动画
26753492,泡泡,喜剧/动画,塔伊加·维迪提将联合马克·古斯塔夫森拍摄迈克尔·杰克逊传记定格动画[泡泡]，艾萨克·亚当森操刀剧本。故事通过黑猩猩“泡泡”的视角来讲述MJ生活的点滴。“泡泡”为杰克逊曾经收养的黑猩猩。,MJ/定格动画/待看/动画
20504973,Born To Be King,喜剧,,EwanMcGregor/PeterCapaldi/2014/英国/UK\Ireland/UK/非常想看/新剧
4092781,斧头,剧情/喜剧/犯罪,朴赞郁透露，下一步将翻拍美国作家唐纳德·维斯雷克的小说《The Ax》(斧头，暂译)，项目还在筹备，李京美担任编剧，目前剧本已经完成。,朴赞郁/韩国/韩国电影/犯罪/电影/ParkChanWook/韓國/剧情
10749552,Blowback,喜剧/动作,Two San Francisco cops are joined by their fathers -- both of whom are retired police officers -- to help crack a case.,
26335566,无人驾驶汽车赛,喜剧/动作/冒险,《无人驾驶汽车赛》（Driverless Car Race）是一部动作冒险喜剧电影，讲述的是几个开发无人驾驶软件的软件公司，互相争夺市场和领导权的故事。而随着这种争夺从软件开发到把软件安装到汽车上，让这些无人驾驶的汽车上路，就变得一发不可收拾了。普通人只是这些汽车的乘客，他们想要控制这些车辆是不可能的。故事从巴黎发展到北京，各式各样的汽车为这个世界提供了各式各样的问题和各式各样的笑料。,2022
26353593,异形帝国,科幻,1988年的科幻电影《外星国度》（Alien Nation）即将被20世纪福克斯公司翻拍，为该片编剧的正是《钢铁侠》（Iron Man）的两位编剧阿特·马科姆（Art Marcum）、马特·霍洛威（Matt Holloway）。,美国/科幻
30230603,冰龙,动画,华纳准备将乔治·马丁的奇幻小说《冰龙》拍成动画片，马丁任制片。小说于1980年出版，围绕一个小孤女与一只冰龙之间的友情展开。冰龙所到之地，大地冰封，并不惧怕冰龙的女孩则在冰龙的协助下与火龙展开了激战。,待看/2022
26826370,如来神掌,科幻,「火雲」墜毀，「邪神」降臨，中土變天。獨裁者「三絕掌」以「邪神」遺留的力量統治人間。龍劍飛一介賤民，夢想改變世界，但能力有限。龍劍飛慘被滅門，雙掌被斬去，卻意外地從「火雲邪神」身上得到「神掌」異能，斷掌重生。龍劍飛以「神掌」號令叛軍，揭竿起義！「神掌」掀起江湖腥風血雨，更能窺探人內心的邪惡。龍劍飛從「神掌」繼承到的不只異能還有慾望、野心……,电影/2016
26687682,莱姆街的女巫,恐怖,"STX娱乐公司近日买下了David Jaher小说《莱姆街的女巫》（The Witch of Lime Street: Seance, Seduction and Houdini in the Spirit World）电影版权，他们将邀请恐怖片《妈妈》（Mama）的导演安德斯·穆斯切蒂（Andres Muschietti）担任制片人和导演，而David Jaher会亲自改编剧本。",恐怖/女巫/西班牙/美国/待看/2019
