MOVIE_ID,NAME,GENRES,STORYLINE,TAGS
33392524,鬼吹灯之龙岭迷窟,剧情/冒险,由新片场影业、梦想者电影、完美文化出品。改编自天下霸唱创作的同名小说，讲述了一个由一只绣花鞋所引发的故事.,鬼吹灯/林雨申/天下霸唱/杨逍/良心剧/这部鬼吹灯真的不是烂片吗
26985839,魔发精灵2,动画/歌舞/奇幻/冒险,讲述Poppy和Branch有了一个惊人的发现——除了他们之外，还有其他的魔发精灵世界，各部落的明显差异导致了巨大的冲突。当一种神秘的邪恶力量让所有的精灵世界都面临危险时，Poppy和Branch以及朋友们将踏上一段史诗般的探寻旅程，在长期不和的各精灵族群中创造和谐氛围，让大家团结起来对抗某种厄运。,动画/梦工厂/动画电影/美国/2020/魔发精灵/美国电影/环球
26577356,The Property of a Lady Fan Film,动作/科幻/冒险,"CUSACK Studios third and last James Bond fan film, Starring Paul Cusack as Ian Fleming's James Bond 007",
25886470,别惹小孩2,恐怖,情节未知。2007部电影《恶作剧》的续集。,恐怖/萌系恐怖片/不给糖就杀人/美国电影/推荐/血腥/不错/去死
27099095,大护法2,剧情/动画,《大护法2》续作在延续第一部设定的同时，做了不少转变，世界观从花生镇转移到市井都城，并会加入新的角色；而花生人也进行了“二次进化”。除此之外，导演不思凡透露，《大护法》片尾彩蛋中“杀手与彩”的故事，也将于第二部中得到延续，同时还会加入一条耐人寻味的情感线。《大护法2》将开启一段全新的故事。,不思凡/反乌托邦/中国动画电影/动画/国产/荒诞/中国/形·国漫
26700731,超能疯人院,喜剧/科幻,《超能疯人院》讲述一个来自“落后”星球的青年人自制飞行器来到地球，寻找曾经因战争而流亡到地球的亲人，却发现隐藏的坏人一直进行着不为人知的计划……,
26735811,我的双核女友,爱情,《我的双核女友》聚焦于一个叫做明勋的北京留学的韩国穷学生，他兼职做翻译，赚些生活费，有一天他接到杜俊的电话，让他在一个部分失忆的盲女面前冒充她死去的男友，因为他和那人的声音很相像。从影片剧情设定来看，此次演员方面会是韩国和中国男女明星的搭档。,
26700631,斯诺克,剧情/喜剧/运动,首部台球主题巨制《斯诺克》启动  娱乐体育相融合,电影/台球
26736880,亮剑,动作/历史/战争,《亮剑》和《血色浪漫》都曾是引发“万人空巷”的热门电视剧，嘉博文化公布了将其改编为电影的消息，《亮剑》由导演康洪雷执导，《血色浪漫》则由演员许晴“首执导筒”。,亮剑/经典/康洪雷/电影
3808505,云端之上,动画,披头士乐队成员保罗·麦卡特尼参与制作的动画电影《云端之上》(High In The Clouds)确认编剧： Jon Croker(《黑衣女人2》《沙漠舞者》《女飞人》)。,动画/动漫/the/in/high/clouds
30453095,言语如苏打般涌现,动画,フライングドッグ10周年記念作品,动画/剧场版/日本/日本动画/动画电影/日本动画电影/电影/2020
30327691,我心底的美丽世界,剧情/家庭,八年前，少女林宛之因遭诱奸，意外怀孕生子，母亲顾宏带着小宛之搬离小镇，前往陌生的城市上海定居，而那个孩子被送去了乡下外婆家，从此隐姓埋名。,刘大志/女性/中国/剧情/NewEra/家庭/【大陆】/处女作
27177908,凯特,动作/惊悚,Netflix将打造一部以女性为主角的硬动作片《凯特》(Kate)，具有《杀死比尔》和《女囚尼基塔》的风格，“把凯特·布兰切特想象为李·马文带进一部硬汉动作惊悚片，女主角要在24小时之内解决自己的谋杀案”。不过大魔王并没有确定出演，片方将寻找合适导演和主演，明年4月开拍，成本约为2500万美元。剧本由Umair Aleem(《终极救援》)编写，制片人包括 Kelly McCormick(《极寒之城》)、大卫·雷奇(《疾速追杀》《极寒之城》《死侍2》)、 Bryan Unkeless(《饥饿游戏》《我，托尼亚》)。,玛丽·伊丽莎白·温斯特德/伍迪·哈里森/美国电影/惊悚/动作
33386987,不一样的礼物,剧情,,侯季然
25823937,天赋异禀,科幻,《天赋异禀》由环球与传奇联手推出，改编自马库斯-萨基(Marcus Sakey)同名小说，将由新人导演朱利叶斯-约拿(Julius Onah)执导。据称《侏罗纪公园》(Jurassic Park)和《黑衣人3》(Menin Black III)编剧大卫-凯普(David Koepp)将撰写本片的剧本。影片背景设定在一个虚构的未来世界，一些人生来就有超能力，史密斯就是这样一个“天赋异禀”的人，他将自己的超能力用来追捕罪犯。影片的风格就像是《X战警》(X-Men)遇上《猎杀本拉登》(Zero Dark Thirty)。,科幻/美国/美国电影/电影/漫威/JaredLeto/2020/未上映2016
27178700,少女与战车：最终章 — 第4话,动画,,日本动画/剧场版/电影/水岛努/日本/待看/少女与战车/坦克
27178701,少女与战车：最终章 — 第5话,动画,,日本动画/少女与战车/剧场版/电影/水岛努/日本/待看/坦克
33385812,迷路,剧情,多杰和旦巴两家赶着牛群，从冬季牧场去往夏季牧场，途中因山路崎岖加上连续几天的大雪纷飞而迷了路 。途中却又遇大风袭击丢失了牛群，面临食物短缺，寒气隆冬，为了活命，两家必须尽快赶路。,中国电影
25881778,我要我们在一起,爱情,十年前，差生吕钦扬以冒天下之大不韪的勇气当众召告：他爱凌一尧，非她莫娶，绝不后悔！十年后，他为给她更好的生活，不惜以命相博！但家庭、社会的重担渐渐磨砺情感的份量，两个人面临从未出现的考验！,爱情/人生/屈楚萧/恋爱/国产片/凌一尧吕清杨/中国大陆/青年必看异地良品
25881783,天涯知己,剧情,世上没有永远的陌生人 他们只是你还没遇见的朋友,台湾/何蔚庭
30456563,鸦科,惊悚,故事讲述男友意外去世，精神脆弱的女友怀着孕来到了男友的家庭中，男友的家人对她的每个举动都时时关注。由于精神幻觉的困扰，她对男友家人的意图产生了怀疑。,菲奥娜·肖/英国电影/杰克·劳登/惊悚/电影
25766530,黄豆芽,剧情/家庭,"Il-Hong (Lee Ki-Woo) is a children's story writer. He lost his wife, who he was deeply in love with. Il-Hong feels that he lost everything, but he struggles to live for his daughter Ye-Seo.",韩国电影
30454682,Sound of Freedom,剧情/动作/惊悚,"The story of Tim Ballard, a former US government agent who quits his job in order to devote his life ysgou.cc to rescuing children from global sex traffickers.",
2325861,神奇旅程,科幻/冒险,吉尔莫·德尔·托罗新片[神奇旅程]有望明年1月在多伦多开拍。该片翻拍自科幻片[神奇旅程](1966)，剧本由与导演合作过[刀锋战士2]的编剧大卫·S·高耶操刀。电影讲述医生小队被微缩注射进入一个科学家体内，进行血管手术的故事。上映日期未定。,科幻/神奇旅程/美国/电影/我看过的英语电影/我看过的电影/翻拍/美国电影
30330416,牛奶,恐怖,温子仁将担任新线恐怖新片[牛奶]制片，影片翻拍自同名恐怖短片。短片[牛奶]由桑迪亚哥·蒙希尼自编自导，故事讲述一个少年深夜去厨房取牛奶遇到了睡不着觉的妈妈，一连串诡异事件就此展开。该片为今年西南偏南电影节获奖短片。蒙希尼将出任新片导演，恐怖片[丝黛芬妮]编剧本·柯林斯、卢克·皮厄特罗斯基操刀剧本。,温子仁/恐怖/美国电影/翻拍/美国/惊悚/改编/电影
30223616,学长,喜剧/爱情,为了接近梦中的白马王子程沐光（金澔辰 饰），永远包办全班倒数前三名的熊维妮（林盈臻 饰）拼了命，考上了程沐光就读的学校，却没想到这只是劫数的开端。先是在校门口滑倒被王子型学长程沐光目击，再是在电梯里壁咚了暴君型学长秦子宁（邱胜翊 饰），最后又在在开学典礼被邪气型学长何莫（董又霖 饰）公主抱。短短时间 ，熊维妮成了全校的大红人。秦子宁竟是维妮的直属学长，并要挟维妮加入学生会成为他的奴隶，何莫疯狂追求维妮，而维妮心爱的程沐光却疑似有喜欢的人？更糟的是，维妮发现自己竟然喜欢上了秦子宁！三位大神学长的交杂下，维妮该如何生存，她的爱情又该何去何从？,电影/董又霖/笛笛/喜剧/影人
6893932,壮志凌云独行侠,动作,目前，关于这部影片传来了令人振奋的好消息。有消息表示，迪士尼的动画片《森林王子》编剧贾斯丁·马科斯有望接手撰写影片的剧本，而原版主演汤姆·克鲁斯也极有可能会回归剧组，重新扮演马弗里克这个角色。,汤姆·克鲁斯/壮志凌云2/军事/美国/阿汤哥/动作/美国电影/电影
27094789,哈莉·奎恩与小丑,动作/冒险,《疯狂愚蠢的爱》导演格伦·费卡拉和约翰·里夸正在与[华纳兄弟]进行最后的谈判，有望担任DC电影《#小丑与哈利·奎因#》的编剧和导演。在《X特遣队》中饰演“丑爷”的杰瑞德·莱托和“小丑女”玛格特·罗比将继续出演本片。这部电影计划在《X特遣队2》后上映，并会被打造成一部犯罪爱情故事，注重小丑和小丑女的关系。,小丑女/小丑/DC/美国电影/美国/2020/美漫宇宙/JaredLeto
26892539,消夏录,剧情,关于几位异乡青年，频繁的周末聚会，彻夜的酒局长谈，精力无限，啰嗦，无聊，重复，插科打诨，饮食男女，分分合合，在一座一年三分之二时间都是夏天的城市，夏天没来，感觉一切都未开始，夏天过去，一年的事也发生的差不多，每年夏天都不一样，其实又都 一样。,
33428365,活着,剧情/动作/悬疑,一名中年职业女杀手决定要保护她所刺杀对象的女儿，不得不奋力逃脱帮派对她俩的追捕。,
3150828,傻瓜伊万,动画/家庭/奇幻,,
34482015,失衡的爱,爱情/悬疑/家庭,院线电影,
26935358,Vivo,喜剧/动画/歌舞,索尼动画将与林-曼努尔·米兰达携手打造新动画片《Vivo》，导演柯克·德·米科，编剧奎埃拉·阿里格里亚·赫德兹，米兰达继《海洋奇缘》后再次为动画片操刀歌曲。故事讲述一只热爱音乐和冒险的小猴子为达成梦想，一路从哈瓦那来到迈阿密、开启了一段危险之旅。计划2020.12.16上映。,美国/索尼/哥伦比亚/动画/3D/20-11
30223877,坦诚相待,喜剧/爱情,演员、编剧梅根·朴(《假面真情》《外星邻居》)将为谢琳·伍德蕾主演新片《坦诚相待》(No Baggage)编写剧本，两人此前合作过剧集《青春密语》。朴编写并执导的短片《Lucy in My Eyes》在多个电影节斩获奖项，她也为CBS Studios的剧集《Calvert Collins》的试播集编写剧本。影片基于Clara Bensen写的文章《The Craziest OkCupid Date Ever》，讲述一段不寻常的网恋经历，Offspring Entertainment制作。,
30165214,花花公子之死,剧情,加拿大导演马特·比索内特自编自导新片[花花公子之死](Death of a Ladies' Man，暂译)。影片卡司包括安托万-奥利弗·波尼安([妈咪])、加布里埃尔·伯恩。故事围绕一个放荡的爱尔兰诗歌教授萨缪尔·奥谢(加布里埃尔·伯恩饰)展开，当他被确诊为患有脑瘤后，他的婚姻，他的生活将发生翻天覆地的变化。该片即将于今年7月蒙特利尔等地辗转拍摄。,
30165311,大坏蛋,动画,梦工厂拿下漫画《大坏蛋》(The Bad Guys)的改编权，将打造动画新片，伊坦·柯亨(《黑衣人3》《马达加斯加2》)编写剧本。漫画由Aaron Blabey创作，黑白风格，围绕四个“坏蛋”：狼先生、鲨鱼先生、蛇先生、水虎鱼先生展开故事，他们厌倦了听着别人尖叫跑开远离他们，决定为“善”，尽管他们的本性就是“坏”的。该系列首本漫画于2016年出版，全球畅销数百万册。,梦工厂/期待
30284119,宅男腐女恋爱真难,爱情/歌舞,桃瀨成海是一個深藏腐女屬性的OL，不過在情場上十分失意。而二藤宏嵩是桃瀨的青梅竹馬，雖然是個徹頭徹尾的死宅，但是長著一副英俊的面孔帶著酷冷的形象。在桃瀨情場失意時作為青梅竹馬的二藤迅速拉近了與桃瀨的感情距離，一臉淡然的告白之後正式交往...,山崎贤人/漫改/日本/日本电影/山﨑賢人/高畑充希/日影/贺来贤人
